Frequency,S12_Magnitude,
1000000,-3.450566061,
1599959,-3.165396557,
2199919,-3.194971554,
2799879,-3.078108608,
3399839,-3.069867212,
3999799,-2.915947268,
4599759,-2.981978849,
5199719,-2.955595832,
5799679,-3.054765036,
6399639,-3.122452494,
6999599,-3.290212789,
7599559,-3.373276752,
8199519,-3.528175388,
8799479,-3.63003328,
9399439,-3.800362479,
9999399,-4.038586217,
10599359,-4.092472046,
11199319,-4.212047443,
11799279,-4.413696455,
12399239,-4.562918342,
12999199,-4.847777253,
13599159,-4.940301186,
14199119,-5.170472455,
14799079,-5.359795952,
15399039,-5.613777182,
15998999,-5.691114511,
16598959,-5.906962676,
17198919,-6.188320119,
17798879,-6.465642389,
18398839,-6.666458098,
18998799,-6.983394294,
19598759,-7.02167337,
20198719,-7.153080548,
20798679,-7.743357891,
21398639,-7.74092136,
21998599,-7.989478054,
22598559,-8.29944133,
23198519,-8.499984577,
23798479,-8.842327437,
24398439,-9.032176695,
24998399,-9.273421254,
25598359,-9.603251745,
26198319,-9.952656464,
26798279,-10.19255057,
27398239,-10.35061545,
27998199,-10.57231783,
28598159,-10.99170769,
29198119,-11.1899312,
29798079,-11.83796859,
30398039,-12.14086057,
30997999,-12.45695286,
31597959,-12.77783318,
32197919,-13.22992836,
32797879,-13.53168569,
33397839,-14.11777938,
33997799,-14.46496009,
34597759,-14.86587971,
35197719,-15.32628035,
35797679,-15.58307479,
36397639,-16.20554309,
36997599,-17.04741851,
37597559,-17.44811047,
38197519,-17.94540461,
38797479,-18.36438349,
39397439,-19.30328495,
39997399,-20.30054917,
40597359,-21.61858006,
41197319,-22.89351929,
41797279,-23.12045529,
42397239,-24.42925806,
42997199,-25.42701826,
43597159,-26.74786973,
44197119,-30.86746899,
44797079,-38.17370098,
45397039,-38.3861493,
45996999,-42.17906229,
46596959,-44.57199425,
47196919,-37.12481533,
47796879,-38.5549748,
48396839,-30.20931484,
48996799,-26.56554606,
49596759,-25.27884687,
50196719,-24.10415494,
50796679,-22.72947026,
51396639,-22.80433579,
51996599,-21.52983753,
52596559,-20.29698503,
53196519,-20.19435877,
53796479,-18.9114393,
54396439,-18.14987118,
54996399,-17.60391692,
55596359,-17.28218227,
56196319,-16.1625908,
56796279,-15.77976719,
57396239,-15.32214005,
57996199,-14.707557,
58596159,-14.38245399,
59196119,-14.12955086,
59796079,-13.69651766,
60396039,-12.8892631,
60995999,-12.7930537,
61595959,-12.68821283,
62195919,-12.26898039,
62795879,-12.00535385,
63395839,-11.63261216,
63995799,-11.3575219,
64595759,-10.91734245,
65195719,-10.65669645,
65795679,-10.61416216,
66395639,-10.38250773,
66995599,-10.08801142,
67595559,-9.970853096,
68195519,-9.645596397,
68795479,-9.296173904,
69395439,-9.288909176,
69995399,-8.975886863,
70595359,-8.72565673,
71195319,-8.576505345,
71795279,-8.500009309,
72395239,-8.399881322,
72995199,-8.129157873,
73595159,-7.836040995,
74195119,-7.851969293,
74795079,-7.724937395,
75395039,-7.535156577,
75994999,-7.364205446,
76594959,-7.223122372,
77194919,-7.229123861,
77794879,-6.995522223,
78394839,-6.814320225,
78994799,-6.770229104,
79594759,-6.449776638,
80194719,-6.512171867,
80794679,-6.433115838,
81394639,-6.352359449,
81994599,-6.234231372,
82594559,-6.178435643,
83194519,-6.104598123,
83794479,-6.102382667,
84394439,-5.951724895,
84994399,-5.782464482,
85594359,-5.671503995,
86194319,-5.591893883,
86794279,-5.583346915,
87394239,-5.490605506,
87994199,-5.380730771,
88594159,-5.376417182,
89194119,-5.318870842,
89794079,-5.245388788,
90394039,-5.225268108,
90993999,-5.139397933,
91593959,-5.120452958,
92193919,-5.086768197,
92793879,-5.08725474,
93393839,-4.890235049,
93993799,-4.915677663,
94593759,-4.854116928,
95193719,-4.805001405,
95793679,-4.823635376,
96393639,-4.709212703,
96993599,-4.670618445,
97593559,-4.653957473,
98193519,-4.642076422,
98793479,-4.565988793,
99393439,-4.591556309,
99993399,-4.508878941,
100593359,-4.553820214,
101193319,-4.449017494,
101793279,-4.474744153,
102393239,-4.506198822,
102993199,-4.354092976,
103593159,-4.334183454,
104193119,-4.335206093,
104793079,-4.344637138,
105393039,-4.322107873,
105992999,-4.293606303,
106592959,-4.27795182,
107192919,-4.399990927,
107792879,-4.242517035,
108392839,-4.228792466,
108992799,-4.267360415,
109592759,-4.296648522,
110192719,-4.25632917,
110792679,-4.242431417,
111392639,-4.112529503,
111992599,-4.266279953,
112592559,-4.102425437,
113192519,-4.061404409,
113792479,-4.192614679,
114392439,-4.139308113,
114992399,-4.158024603,
115592359,-4.121620172,
116192319,-4.121788895,
116792279,-4.169913219,
117392239,-4.140045595,
117992199,-4.073734315,
118592159,-4.080151401,
119192119,-4.073504247,
119792079,-4.048300192,
120392039,-4.104725841,
120991999,-4.054727387,
121591959,-4.175998086,
122191919,-4.099538637,
122791879,-4.035469692,
123391839,-4.016119292,
123991799,-4.055676807,
124591759,-4.074763432,
125191719,-3.981617425,
125791679,-3.949105313,
126391639,-4.01847764,
126991599,-3.997096078,
127591559,-3.938568717,
128191519,-3.977808945,
128791479,-4.074050386,
129391439,-3.909482262,
129991399,-3.891885889,
130591359,-3.974829485,
131191319,-3.992871736,
131791279,-3.978664875,
132391239,-3.909514075,
132991199,-4.067630634,
133591159,-3.90964757,
134191119,-3.998741738,
134791079,-3.996916249,
135391039,-4.057368263,
135990999,-3.984263929,
136590959,-4.028272661,
137190919,-4.011408888,
137790879,-3.975556231,
138390839,-4.03215413,
138990799,-3.978826992,
139590759,-3.926557606,
140190719,-3.975053825,
140790679,-3.889305254,
141390639,-4.06077397,
141990599,-3.916686576,
142590559,-4.011369965,
143190519,-3.985496501,
143790479,-3.990275054,
144390438,-4.003961687,
144990398,-4.032291981,
145590358,-4.024600422,
146190318,-3.933557774,
146790278,-3.996660354,
147390238,-3.893629996,
147990198,-3.965304062,
148590158,-3.922264532,
149190118,-3.999949127,
149790078,-4.033058989,
150390038,-3.93257208,
150989998,-3.990590174,
151589958,-3.938873495,
152189918,-4.013962022,
152789878,-3.993243447,
153389838,-4.066562706,
153989798,-4.06577326,
154589758,-4.058913497,
155189718,-3.967787834,
155789678,-4.022060085,
156389638,-4.001921662,
156989598,-4.009764396,
157589558,-4.015643401,
158189518,-4.005566216,
158789478,-3.993653202,
159389438,-4.00235418,
159989398,-3.915143485,
160589358,-4.045951636,
161189318,-3.865468843,
161789278,-3.960515099,
162389238,-4.063228825,
162989198,-3.957418822,
163589158,-4.000470607,
164189118,-3.992344938,
164789078,-3.897326251,
165389038,-3.968903447,
165988998,-4.02317094,
166588958,-4.048405293,
167188918,-3.982083888,
167788878,-3.946772157,
168388838,-3.987199601,
168988798,-3.955224874,
169588758,-4.036471184,
170188718,-4.031412369,
170788678,-3.985351377,
171388638,-3.946422004,
171988598,-3.962541889,
172588558,-3.976768906,
173188518,-4.009828479,
173788478,-3.960066945,
174388438,-3.918235739,
174988398,-3.962340856,
175588358,-3.987848101,
176188318,-3.988767716,
176788278,-4.007332557,
177388238,-3.954134468,
177988198,-3.982946657,
178588158,-3.953947928,
179188118,-4.133053222,
179788078,-4.046727167,
180388038,-4.064536396,
180987998,-4.030975449,
181587958,-4.018879112,
182187918,-4.028244197,
182787878,-4.043085357,
183387838,-4.024859476,
183987798,-3.964828925,
184587758,-3.9766574,
185187718,-3.889415977,
185787678,-3.992158913,
186387638,-4.01267349,
186987598,-4.011532457,
187587558,-3.956945801,
188187518,-3.866616312,
188787478,-3.87263302,
189387438,-3.852800797,
189987398,-3.945457608,
190587358,-3.885834618,
191187318,-3.92499498,
191787278,-3.88943962,
192387238,-3.916142719,
192987198,-3.929533957,
193587158,-3.903471438,
194187118,-3.932773723,
194787078,-3.924182114,
195387038,-3.87680754,
195986998,-3.933336104,
196586958,-3.856181508,
197186918,-3.894073025,
197786878,-3.910643127,
198386838,-3.862238752,
198986798,-3.88121222,
199586758,-3.764570356,
200186718,-3.850324256,
200786678,-3.841128189,
201386638,-3.770510885,
201986598,-3.824970608,
202586558,-3.74047178,
203186518,-3.807322327,
203786478,-3.766942591,
204386438,-3.82373201,
204986398,-3.767772022,
205586358,-3.762957476,
206186318,-3.757237357,
206786278,-3.752798294,
207386238,-3.690082291,
207986198,-3.710716872,
208586158,-3.718963457,
209186118,-3.803416829,
209786078,-3.792610419,
210386038,-3.762201319,
210985998,-3.707428556,
211585958,-3.759066911,
212185918,-3.65734557,
212785878,-3.794383667,
213385838,-3.683231016,
213985798,-3.627897798,
214585758,-3.720652746,
215185718,-3.697886191,
215785678,-3.645559058,
216385638,-3.711097421,
216985598,-3.62884871,
217585558,-3.715605347,
218185518,-3.715751834,
218785478,-3.631433258,
219385438,-3.572790162,
219985398,-3.522580955,
220585358,-3.616057668,
221185318,-3.639746739,
221785278,-3.56017134,
222385238,-3.596190371,
222985198,-3.625002091,
223585158,-3.521422396,
224185118,-3.599736885,
224785078,-3.578309274,
225385038,-3.497491607,
225984998,-3.476605905,
226584958,-3.534683193,
227184918,-3.447531382,
227784878,-3.399059823,
228384838,-3.42875517,
228984798,-3.413061357,
229584758,-3.423986928,
230184718,-3.36299631,
230784678,-3.49506241,
231384638,-3.437516826,
231984598,-3.433242949,
232584558,-3.3897139,
233184518,-3.371052834,
233784478,-3.463382598,
234384438,-3.426390961,
234984398,-3.403568397,
235584358,-3.385193421,
236184318,-3.340589457,
236784278,-3.302703257,
237384238,-3.377622608,
237984198,-3.334297708,
238584158,-3.325524347,
239184118,-3.34916625,
239784078,-3.305893523,
240384038,-3.3667145,
240983998,-3.323222151,
241583958,-3.29014865,
242183918,-3.327378197,
242783878,-3.299870039,
243383838,-3.329856256,
243983798,-3.274611711,
244583758,-3.226099221,
245183718,-3.223526825,
245783678,-3.21936371,
246383638,-3.249657305,
246983598,-3.297609663,
247583558,-3.179444317,
248183518,-3.218519867,
248783478,-3.246641942,
249383438,-3.253269232,
249983398,-3.22268042,
