Frequency,S12_Magnitude,
1000000,-3.403673605,
1599959,-3.339385066,
2199919,-3.224545394,
2799879,-2.991064024,
3399839,-2.970532297,
3999799,-2.973091393,
4599759,-2.9688321,
5199719,-2.928615148,
5799679,-3.070257213,
6399639,-3.135000146,
6999599,-3.190390429,
7599559,-3.365908668,
8199519,-3.456725176,
8799479,-3.636919117,
9399439,-3.705483362,
9999399,-3.903784758,
10599359,-4.068350369,
11199319,-4.189303833,
11799279,-4.350901599,
12399239,-4.583314114,
12999199,-4.758189864,
13599159,-4.939538994,
14199119,-4.992394836,
14799079,-5.38308689,
15399039,-5.441070928,
15998999,-5.604420691,
16598959,-5.887603398,
17198919,-6.118843925,
17798879,-6.421046085,
18398839,-6.582655345,
18998799,-6.755275877,
19598759,-6.923335578,
20198719,-7.149127197,
20798679,-7.532614601,
21398639,-7.669656747,
21998599,-7.882441555,
22598559,-8.184448641,
23198519,-8.273524495,
23798479,-8.500752876,
24398439,-8.876693664,
24998399,-9.132995164,
25598359,-9.205487598,
26198319,-9.499369072,
26798279,-9.868692269,
27398239,-10.1064786,
27998199,-10.38703392,
28598159,-10.65604116,
29198119,-10.8944739,
29798079,-11.24729326,
30398039,-11.67375052,
30997999,-12.01885762,
31597959,-12.23884014,
32197919,-12.47488496,
32797879,-12.89637665,
33397839,-13.12851519,
33997799,-13.66577108,
34597759,-14.01804643,
35197719,-14.47847735,
35797679,-14.99741642,
36397639,-15.2069038,
36997599,-15.74686544,
37597559,-16.09448416,
38197519,-16.52525831,
38797479,-17.36356831,
39397439,-17.86775312,
39997399,-18.35106891,
40597359,-18.95205211,
41197319,-19.26455158,
41797279,-20.92418193,
42397239,-22.01172375,
42997199,-22.29243346,
43597159,-23.45791144,
44197119,-24.40755271,
44797079,-25.9771825,
45397039,-25.22948101,
45996999,-30.8483196,
46596959,-34.41071467,
47196919,-37.50421423,
47796879,-40.6800289,
48396839,-47.40376106,
48996799,-39.65279944,
49596759,-39.50116121,
50196719,-35.90966665,
50796679,-28.58287669,
51396639,-25.97374756,
51996599,-24.77663945,
52596559,-23.86094189,
53196519,-22.78850517,
53796479,-22.89440706,
54396439,-21.77948476,
54996399,-19.97396293,
55596359,-19.58404617,
56196319,-18.62355056,
56796279,-18.0709206,
57396239,-17.61542173,
57996199,-17.14873086,
58596159,-16.66163222,
59196119,-15.73490801,
59796079,-15.4775861,
60396039,-15.13746068,
60995999,-14.73617398,
61595959,-14.33022513,
62195919,-14.18909439,
62795879,-13.7255655,
63395839,-13.12223275,
63995799,-12.94221223,
64595759,-12.41140216,
65195719,-12.15473895,
65795679,-11.87911842,
66395639,-11.75707446,
66995599,-11.50904118,
67595559,-11.02842916,
68195519,-10.8656829,
68795479,-10.56149174,
69395439,-10.46270903,
69995399,-10.31725972,
70595359,-10.03049197,
71195319,-9.907482198,
71795279,-9.59465714,
72395239,-9.385948365,
72995199,-9.269778328,
73595159,-8.98005137,
74195119,-8.830830088,
74795079,-8.606672791,
75395039,-8.518413555,
75994999,-8.333125775,
76594959,-8.410248852,
77194919,-8.168035077,
77794879,-7.89866282,
78394839,-7.771104222,
78994799,-7.718669374,
79594759,-7.480132054,
80194719,-7.438689438,
80794679,-7.1980177,
81394639,-7.192576014,
81994599,-7.08838997,
82594559,-6.985912328,
83194519,-6.784255396,
83794479,-6.704375387,
84394439,-6.601519936,
84994399,-6.46914426,
85594359,-6.407616579,
86194319,-6.351533372,
86794279,-6.275076286,
87394239,-6.194944783,
87994199,-6.111188284,
88594159,-6.131850754,
89194119,-5.935820415,
89794079,-5.972199587,
90394039,-5.810223334,
90993999,-5.712768149,
91593959,-5.644491379,
92193919,-5.665903337,
92793879,-5.513089072,
93393839,-5.527243468,
93993799,-5.485690872,
94593759,-5.409686076,
95193719,-5.339319235,
95793679,-5.303444734,
96393639,-5.151366152,
96993599,-5.234708509,
97593559,-5.152057997,
98193519,-5.195691319,
98793479,-5.078972677,
99393439,-5.049609402,
99993399,-4.977565466,
100593359,-5.042268954,
101193319,-4.938918618,
101793279,-4.919098126,
102393239,-4.851034667,
102993199,-4.868423501,
103593159,-4.776145306,
104193119,-4.73324406,
104793079,-4.741766121,
105393039,-4.749080083,
105992999,-4.679387083,
106592959,-4.673113268,
107192919,-4.658462241,
107792879,-4.541177908,
108392839,-4.562388478,
108992799,-4.520683238,
109592759,-4.525173161,
110192719,-4.516965911,
110792679,-4.465959198,
111392639,-4.471169492,
111992599,-4.384863597,
112592559,-4.496768571,
113192519,-4.521859021,
113792479,-4.413144454,
